Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2
21326.030126175,26.1875,26.5,29.0,55.0,3.8048,3.8063999999999996,3.7840000000000003,0.84,0.0,-0.005,0.005,0,0,0,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0
21327.040127967,26.125,26.5,29.0,55.0,3.8063999999999996,3.8063999999999996,3.7840000000000003,0.84,0.0,-0.005,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,4.2,4.2,4.2,200,200,200,0.0005668502982781803,0.00013390089490904206,0.0005548469607594644,171.6138,171.6138,171.6138,2.8145382307168596,3.3639842791662105,2.8131413979107034
21328.050139055,26.125,26.5,29.0,56.0,3.8063999999999996,3.8048,3.7824,0.84,-0.005,-0.005,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0007568887581830223,0.0003533200793930572,0.001425645804351353,171.6138,171.6138,171.6138,3.452876669116586,3.411884050922416,2.9480155698235535
21329.060149993,26.125,26.5,29.0,55.0,3.8096,3.8063999999999996,3.7824,0.84,-0.0025,0.0025,-0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0009895096473684702,0.0016189063677612284,0.0015759202810431629,171.6138,171.6138,171.6138,3.500491240114202,2.9723685017807524,3.5621637291513397
21330.070150467,26.1875,26.5,29.0,55.0,3.8063999999999996,3.8063999999999996,3.7840000000000003,0.84,0.0,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0023583067727253743,0.0017856838965204223,0.002729938202245249,171.6138,171.6138,171.6138,3.084392573718181,3.6019215296267095,3.1522462138363103
21331.080158144,26.125,26.5,29.0625,55.5,3.8063999999999996,3.8063999999999996,3.7824,0.84,0.005,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.003450734484542928,0.0019581348703816585,0.0036545822469052774,171.6138,171.6138,171.6138,3.272593492391788,3.628238758692745,3.316359727792186
21332.090163727,26.125,26.5,29.0625,54.5,3.808,3.8063999999999996,3.7807999999999997,0.84,-0.0025,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.003467958093109266,0.0021295930901237474,0.004350689970340812,171.6138,171.6138,171.6138,3.784463598577034,3.6495866069488785,3.4448258692280422
21333.100173142,26.125,26.5,29.0,56.4,3.808,3.8063999999999996,3.7824,0.84,-0.0025,0.0,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.003502353545462334,0.0036960951888176437,0.004862615076614191,171.6138,171.6138,171.6138,3.770207890637202,3.2542204891373854,3.5406776376133138
21334.110176538,26.1875,26.5,29.0,56.9,3.8063999999999996,3.8048,3.7840000000000003,0.84,0.0025,-0.005,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0046966280435447065,0.0037170548852938053,0.005234441283235284,171.6138,171.6138,171.6138,3.3938741177322367,3.781427973357646,3.610312705600008
21335.120179211,26.125,26.5,29.0,56.4,3.8096,3.8048,3.7807999999999997,0.84,-0.0025,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.004669478694894561,0.003756667929426739,0.005496296974090111,171.6138,171.6138,171.6138,3.8466962509740354,3.767486389373197,3.659139804815617
21336.138440308,26.1875,26.5,29.0625,56.4,3.808,3.8032,3.7824,0.84,-0.005,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0056787604995629515,0.005166766495965014,0.0056883722758016165,171.6138,171.6138,171.6138,3.491397223798642,3.3993781455813052,3.693460179853713
21337.148442682,26.125,26.5,29.0,56.9,3.8063999999999996,3.8063999999999996,3.7840000000000003,0.84,-0.005,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.005636900247421008,0.005137102084073506,0.005831505647246047,171.6138,171.6138,171.6138,3.885145886496243,3.8445153882942646,3.717896489285864
21338.158453018,26.1875,26.5,29.0,56.9,3.808,3.8048,3.7824,0.84,-0.005,0.0,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0065250512002514235,0.0051276880383558,0.0059464199323483865,171.6138,171.6138,171.6138,3.551935319493874,3.815976609725639,4.012358056299918
21339.16845302,26.125,26.5,29.0625,56.9,3.8063999999999996,3.808,3.7840000000000003,0.84,-0.0025,0.0,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.007066174718255735,0.0064452729716627764,0.0063156667737369245,171.6138,171.6138,171.6138,3.6381432798955213,3.4803009778077176,3.656795196251942
21340.17845928,26.125,26.3125,29.0625,56.4,3.8063999999999996,3.8048,3.7824,0.84,0.005,-0.0075,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.007073950499242416,0.007196805219841135,0.006561693248204745,171.6138,171.6138,171.6138,3.9369428254726633,3.5973054479150632,3.6956564372618934
21341.188463836,26.125,26.5,29.0,57.4,3.8063999999999996,3.8048,3.7824,0.84,0.0,0.0,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0076839427684507996,0.007188042995582563,0.006720925333660937,171.6138,171.6138,171.6138,3.6384082628587837,3.9101100861617093,3.7209120089498304
21342.198475575,26.125,26.4375,29.0625,56.9,3.8096,3.808,3.7840000000000003,0.84,-0.0025,0.0,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.007694013153221237,0.0071557634202042576,0.00691253847671723,171.6138,171.6138,171.6138,3.921950428694506,3.8666111453460377,3.988698205100334
21343.208476295,26.0625,26.5,29.0625,56.9,3.8063999999999996,3.8048,3.7824,0.84,0.0025,-0.0025,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.007665353096309883,0.008150068021794195,0.0073023442985716575,171.6138,171.6138,171.6138,3.876334840228819,3.584890575325341,3.6701050987842674
21344.218488144,26.1875,26.5,29.0,57.9,3.808,3.8063999999999996,3.7840000000000003,0.84,-0.0025,0.0,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008573855683194347,0.008694237270352421,0.007544539262573145,171.6138,171.6138,171.6138,3.6087643692723734,3.6677564325940892,3.706686151625904
