Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2
21347.248505424,26.1875,26.5,29.0,57.4,3.8063999999999996,3.8048,3.7824,0.84,-0.0025,-0.0025,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.00967131449833406,0.009340917825908249,0.008148394339889967,171.6138,171.6138,171.6138,3.6844617007810014,3.764884725925054,3.970694683728014
21348.273752418,26.1875,26.375,29.0625,56.9,3.808,3.8048,3.7840000000000003,0.84,0.0025,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.009715453393461217,0.009582810752938459,0.008480092693816702,171.6138,171.6138,171.6138,3.894533012128692,3.9470741706566135,3.697802709774541
21349.286289885,26.1875,26.3125,29.0625,56.9,3.8096,3.8063999999999996,3.7824,0.84,0.0,-0.005,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.00970661374297788,0.00964784189909584,0.008675769148895174,171.6138,171.6138,171.6138,3.8570118312938786,3.8969626474648265,3.7264075199667603
21350.296295968,26.125,26.5,29.0625,57.9,3.8063999999999996,3.8048,3.7840000000000003,0.84,-0.005,0.0,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.009692041789278053,0.009645675444616216,0.008796073195705545,171.6138,171.6138,171.6138,3.8288447792399456,3.859415440273645,3.7433885410211314
21351.306309347,26.1875,26.5,29.0625,56.9,3.808,3.8063999999999996,3.7840000000000003,0.84,-0.005,-0.005,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.009692649169045536,0.010470985909127102,0.008884686941750618,171.6138,171.6138,171.6138,3.8074787664952443,3.6595629152050475,3.754458358581605
21352.316311724,26.125,26.5,29.0625,57.9,3.8063999999999996,3.8063999999999996,3.7807999999999997,0.84,0.0025,-0.0075,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.010922169398924179,0.01096638063557138,0.008943638050539403,171.6138,171.6138,171.6138,3.6198239392727096,3.706058591660113,3.7615844802184557
21353.326322138,26.1875,26.5,29.0625,58.4,3.8063999999999996,3.8048,3.7824,0.84,0.0,-0.0075,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.011657299282418897,0.011044500693440146,0.008987952379906978,171.6138,171.6138,171.6138,3.676268046883364,3.879547062414495,3.7660130527550377
21354.336331513,26.0625,26.4375,29.0625,57.9,3.8063999999999996,3.8063999999999996,3.7824,0.84,-0.005,0.0,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.012136792757878082,0.011051964967124775,0.009023231328095009,171.6138,171.6138,171.6138,3.7079889380754185,3.8459261957649664,3.7688859654356666
21355.346331517,26.1875,26.5,29.0625,58.4,3.8063999999999996,3.8063999999999996,3.7840000000000003,0.84,-0.0025,-0.005,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.012233152341875187,0.011910661381996238,0.009052714203196626,171.6138,171.6138,171.6138,3.8762221999232613,3.665621378684217,3.7707840842395193
21356.356336613,26.125,26.4375,29.0625,57.9,3.8063999999999996,3.8048,3.7824,0.84,-0.0025,-0.005,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.012817588457813823,0.012459826105560103,0.009078459257244268,171.6138,171.6138,171.6138,3.6962095455674824,3.6994689565654912,3.77204267229878
21357.36633956,26.125,26.5,29.0625,57.9,3.8063999999999996,3.8032,3.7807999999999997,0.84,-0.0025,-0.0075,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.013204290264040802,0.012823636146108935,0.009104835180017664,171.6138,171.6138,171.6138,3.7222039571383045,3.724264036194846,3.7732252936893147
21358.386775796,26.125,26.5,29.0625,58.9,3.808,3.8063999999999996,3.7824,0.84,-0.005,0.0,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.01335333006497806,0.013071283469300032,0.009125539102967579,171.6138,171.6138,171.6138,3.881792347241604,3.742536432200928,3.7738465882885555
21359.396785351,26.125,26.4375,29.0625,59.4,3.808,3.8063999999999996,3.7824,0.84,-0.0025,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.013888124488389346,0.013244998979661566,0.009148534763440195,171.6138,171.6138,171.6138,3.7058772795983104,3.7560459291288684,3.774435951671819
21360.406788684,26.1875,26.4375,29.0625,58.9,3.808,3.8048,3.7824,0.84,0.0025,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.013991222226148844,0.013564269664830124,0.009170032108543705,171.6138,171.6138,171.6138,3.868471012607929,3.903517338110569,3.77500880399706
21361.416794404,26.125,26.5,29.0625,58.4,3.808,3.8048,3.7856,0.84,0.0,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.014631028217681282,0.013666524962717976,0.009187583860275836,171.6138,171.6138,171.6138,3.6981165353277317,3.8654407509440447,3.7750435342402495
21362.426801383,26.125,26.5,29.0625,58.9,3.808,3.8048,3.7807999999999997,0.84,0.0,0.0025,-0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.014715645101408218,0.01368454689247942,0.010033804535212975,171.6138,171.6138,171.6138,3.8603761221871675,3.8365616186791014,3.9455400263699674
21363.436813194,26.125,26.5,29.125,59.4,3.8048,3.8063999999999996,3.7840000000000003,0.84,-0.0025,-0.005,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.014728456328651112,0.014643083845764567,0.010209990864823139,171.6138,171.6138,171.6138,3.8333341612112197,3.6697769652058794,3.7429229706449987
21364.446818282,26.1875,26.25,29.125,59.9,3.808,3.8048,3.7807999999999997,0.84,-0.01,-0.005,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.01472628372632531,0.015248902283517241,0.010337539825191023,171.6138,171.6138,171.6138,3.8127470984815863,3.7038902797975153,3.750527244569398
21365.456828406,26.1875,26.5,29.125,58.9,3.8063999999999996,3.8048,3.7824,0.84,-0.0025,0.0,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.015926936697641825,0.015357593099730392,0.01043266948877543,171.6138,171.6138,171.6138,3.655610868904666,3.8618094262392604,3.7562217709987196
21366.466838491,26.125,26.5,29.125,59.4,3.8063999999999996,3.8048,3.7840000000000003,0.84,0.0,0.0,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.01665802239356236,0.015378379752747216,0.01050598882917479,171.6138,171.6138,171.6138,3.6947265845259687,3.834717546469117,3.7604771507752663
21367.484391188,26.1875,26.5,29.125,59.4,3.808,3.8063999999999996,3.7824,0.84,0.0,-0.0025,-0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.017128423031854273,0.015376811005823368,0.010564359537754467,171.6138,171.6138,171.6138,3.722774297848787,3.813749068976358,3.7636880907458874
21368.49440442,26.1875,26.5,29.125,59.4,3.8096,3.8048,3.7824,0.84,-0.0025,-0.005,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.01742938220594504,0.01657180130927192,0.010616233094823839,171.6138,171.6138,171.6138,3.7427727036689906,3.6587552505007643,3.766416589139995
