Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2
22792.849729474,25.6875,25.625,28.375,60.1,0.0032,0.0032,3.7407999999999997,1.2875,0.0,0.0025,0.005,1,1,1,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200
22795.849732753,25.6875,25.625,28.375,61.2,0.0016,0.0,3.7407999999999997,1.2875,-0.0025,-0.005,0.555,1,1,1,0,0,0,120,120,120,120,120,0,0,0,8,200,200,200
22798.849735582,25.6875,25.625,28.3125,62.3,0.0016,0.0016,3.7407999999999997,1.2875,0.0025,-0.0025,0.53,1,1,1,0,0,0,120,120,120,120,120,0,0,0,8,200,200,200
22801.849736244,25.6875,25.6875,28.3125,61.8,0.0048,0.0016,3.7392000000000003,1.2875,-0.0025,0.0,0.5125,1,1,1,0,0,0,120,120,120,120,120,0,0,0,8,200,200,200
22804.849739947,25.6875,25.625,28.3125,62.3,0.0016,0.0016,3.7392000000000003,1.2875,0.0025,-0.0025,0.53,1,1,1,0,0,0,120,120,120,120,120,0,0,0,8,200,200,200
22807.849742578,25.6875,25.625,28.3125,62.3,0.0016,0.0016,3.7440000000000007,1.2875,0.0,0.0,0.5325,1,1,1,0,0,0,120,120,120,120,120,0,0,0,8,200,200,200
22810.849746011,25.6875,25.6875,28.3125,62.3,0.0016,0.0,3.7424,1.2875,0.0,-0.0025,0.685,1,1,1,0,0,0,120,120,120,120,120,1,0,0,8,200,200,200
22813.849749102,25.6875,25.625,28.375,62.3,0.0016,0.0,3.7424,1.2875,0.0,-0.0025,0.52,1,1,1,0,0,0,120,120,120,120,120,1,0,0,8,200,200,200
22816.849752996,25.6875,25.625,28.3125,62.3,0.0032,0.0016,3.7424,1.2875,-0.0025,-0.0025,0.56,1,1,1,0,0,0,120,120,120,120,120,1,0,0,8,200,200,200
22819.849756028,25.625,25.625,28.3125,62.8,0.0,0.0,3.7456,1.2875,-0.005,0.0,0.53,1,1,1,0,0,0,120,120,120,120,120,1,0,0,8,200,200,200
22822.849757937,25.625,25.625,28.25,62.3,0.0,0.0016,3.7440000000000007,1.2875,-0.0025,0.0,0.505,1,1,1,0,0,0,120,120,120,120,120,1,0,0,8,200,200,200
22825.849761642,25.625,25.5625,28.25,62.3,0.0,0.0,3.7440000000000007,1.2875,0.0,-0.0025,0.525,1,1,1,0,0,0,120,120,120,120,120,2,0,0,8,200,200,200
22828.849763651,25.5625,25.5625,28.25,62.3,0.0016,0.0016,3.7456,1.2875,0.0025,0.0025,0.68,1,1,1,0,0,0,120,120,120,120,120,2,0,0,8,200,200,200
22831.849766676,25.625,25.5625,28.25,62.3,0.0,0.0,3.7456,1.2875,0.0,0.0,0.53,1,1,1,0,0,0,120,120,120,120,120,2,0,0,8,200,200,200
22834.849770038,25.5625,25.5625,28.25,62.3,0.0016,0.0,3.7456,1.2875,0.005,-0.0025,0.5325,1,1,1,0,0,0,120,120,120,120,120,2,0,0,8,200,200,200
22837.849771134,25.625,25.625,28.25,62.8,0.0016,0.0,3.7472000000000003,1.2875,0.0,-0.0075,0.52,1,1,1,0,0,0,120,120,120,120,120,2,0,0,8,200,200,200
22840.849775642,25.625,25.5625,28.25,62.3,0.0,0.0,3.7472000000000003,1.2875,-0.0025,-0.0025,0.735,1,1,1,0,0,0,120,120,120,120,120,3,0,0,8,200,200,200
22843.849776113,25.625,25.625,28.25,62.3,0.0016,0.0,3.7456,1.2875,-0.005,0.0,0.5725,1,1,1,0,0,0,120,120,120,120,120,3,0,0,8,200,200,200
22846.849779477,25.625,25.625,28.25,63.4,0.0032,0.0,3.7488,1.2875,-0.0025,-0.0025,0.67,1,1,1,0,0,0,120,120,120,120,120,3,0,0,8,200,200,200
22849.849779847,25.625,25.5625,28.25,62.3,0.0016,0.0,3.7488,1.2875,-0.0025,-0.0075,0.75,1,1,1,0,0,0,120,120,120,120,120,3,0,0,8,200,200,200
22852.849780298,25.625,25.5625,28.25,62.3,0.0016,0.0,3.7472000000000003,1.2875,0.0,-0.0025,0.55,1,1,1,0,0,0,120,120,120,120,120,3,0,0,8,200,200,200
22855.849784527,25.625,25.625,28.25,62.8,0.0032,0.0016,3.7472000000000003,1.2875,0.0025,-0.005,0.5775,1,1,1,0,0,0,120,120,120,120,120,4,0,0,8,200,200,200
22858.849786753,25.625,25.5625,28.25,62.8,0.0,0.0,3.7488,1.2875,0.0025,-0.005,0.51,1,1,1,0,0,0,120,120,120,120,120,4,0,0,8,200,200,200
22861.849788592,25.5625,25.5625,28.25,62.3,0.0032,0.0,3.7488,1.2875,0.0025,0.0,0.71,1,1,1,0,0,0,120,120,120,120,120,4,0,0,8,200,200,200
22864.849790826,25.625,25.625,28.25,62.8,0.0016,0.0,3.7472000000000003,1.2875,-0.005,-0.005,0.5075,1,1,1,0,0,0,120,120,120,120,120,4,0,0,8,200,200,200
22867.849792204,25.5625,25.5625,28.25,62.3,0.0016,0.0016,3.7504,1.2875,0.0,0.0,0.775,1,1,1,0,0,0,120,120,120,120,120,4,0,0,8,200,200,200
22870.849794082,25.5625,25.5625,28.1875,62.8,0.0016,0.0,3.7504,1.2875,0.0,0.0,0.61,1,1,1,0,0,0,120,120,120,120,120,5,0,0,8,200,200,200
22873.849796668,25.5625,25.5625,28.1875,62.3,0.0016,0.0016,3.7488,1.2875,-0.005,-0.0025,0.5325,1,1,1,0,0,0,120,120,120,120,120,5,0,0,8,200,200,200
22876.849800327,25.5625,25.5625,28.1875,62.8,0.0016,0.0016,3.7504,1.2875,-0.0025,0.0,0.7575,1,1,1,0,0,0,120,120,120,120,120,5,0,0,8,200,200,200
22879.849801675,25.5,25.5625,28.1875,62.3,0.0016,0.0016,3.7504,1.2875,0.005,-0.005,0.525,1,1,1,0,0,0,120,120,120,120,120,5,0,0,8,200,200,200
22882.849801908,25.5,25.5625,28.1875,62.3,0.0,0.0016,3.7488,1.2875,-0.0025,-0.0025,0.515,1,1,1,0,0,0,120,120,120,120,120,5,0,0,8,200,200,200
22885.849805977,25.5625,25.5625,28.1875,62.8,0.0,0.0,3.752,1.2875,0.0,0.0,0.4975,1,1,1,0,0,0,120,120,120,120,120,6,0,0,8,200,200,200
22888.849806381,25.5,25.5,28.1875,62.8,0.0,0.0,3.7488,1.2875,-0.0025,-0.005,0.5475,1,1,1,0,0,0,120,120,120,120,120,6,0,0,8,200,200,200
22891.849807392,25.5,25.5,28.1875,62.3,0.0032,0.0016,3.7504,1.2875,0.0,0.0,0.7775,1,1,1,0,0,0,120,120,120,120,120,6,0,0,8,200,200,200
22894.849811822,25.5,25.5625,28.1875,62.3,0.0,0.0016,3.752,1.2875,-0.0025,0.0,0.5325,1,1,1,0,0,0,120,120,120,120,120,6,0,0,8,200,200,200
22897.849812953,25.5,25.5,28.1875,62.3,0.0,0.0016,3.752,1.2875,0.0025,0.0,0.755,1,1,1,0,0,0,120,120,120,120,120,6,0,0,8,200,200,200
22900.849815004,25.5,25.5,28.1875,62.3,0.0016,0.0016,3.7504,1.2875,0.0025,0.0,0.5425,1,1,1,0,0,0,120,120,120,120,120,7,0,0,8,200,200,200
22903.849818913,25.5,25.5,28.125,62.3,0.0016,0.0016,3.7504,1.2875,0.0,-0.005,0.74,1,1,1,0,0,0,120,120,120,120,120,7,0,0,8,200,200,200
22906.849820359,25.5,25.5,28.125,62.3,0.0016,0.0016,3.752,1.2875,0.0,0.0,0.505,1,1,1,0,0,0,120,120,120,120,120,7,0,0,8,200,200,200
22909.849823402,25.5,25.5,28.125,62.3,0.0016,0.0016,3.752,1.2875,0.0,0.0,0.7425,1,1,1,0,0,0,120,120,120,120,120,7,0,0,8,200,200,200
22912.849826222,25.5,25.5,28.125,62.3,0.0016,0.0016,3.7504,1.2875,-0.0025,-0.0025,0.6975,1,1,1,0,0,0,120,120,120,120,120,7,0,0,8,200,200,200
22915.84982913,25.5,25.5,28.125,62.3,0.0016,0.0,3.7504,1.2875,-0.0025,-0.0025,0.7625,1,1,1,0,0,0,120,120,120,120,120,8,0,0,8,200,200,200
22918.849831139,25.5,25.5,28.0625,62.8,0.0016,0.0,3.7504,1.2875,-0.0025,-0.0025,0.5525,1,1,1,0,0,0,120,120,120,120,120,8,0,0,8,200,200,200
22921.849834591,25.5,25.5,28.0625,62.8,0.0016,0.0,3.752,1.2875,0.0025,-0.0025,0.5825,1,1,1,0,0,0,120,120,120,120,120,8,0,0,8,200,200,200
22924.849835477,25.5,25.5,28.0625,63.4,0.0,0.0,3.7504,1.2875,0.0025,0.0,0.7525,1,1,1,0,0,0,120,120,120,120,120,8,0,0,8,200,200,200
22927.849837964,25.5,25.5,28.0625,62.3,0.0016,0.0,3.7536000000000005,1.2875,0.0,-0.005,0.7775,1,1,1,0,0,0,120,120,120,120,120,8,0,0,8,200,200,200
22930.849842261,25.5625,25.5625,28.125,62.3,0.0016,0.0,3.752,1.2875,0.0,-0.0025,0.76,1,1,1,0,0,0,120,120,120,120,120,9,0,0,8,200,200,200
22933.849843471,25.5625,25.5625,28.125,62.3,0.0016,0.0,3.7536000000000005,1.2875,0.0,-0.0025,0.565,1,1,1,0,0,0,120,120,120,120,120,9,0,0,8,200,200,200
22936.849844357,25.5625,25.5625,28.125,62.3,0.0,0.0,3.7536000000000005,1.2875,0.0025,-0.0025,0.5225,1,1,1,0,0,0,120,120,120,120,120,9,0,0,8,200,200,200
22939.849845595,25.5625,25.5625,28.125,63.4,0.0,0.0,3.7536000000000005,1.2875,0.0025,0.0,0.575,1,1,1,0,0,0,120,120,120,120,120,9,0,0,8,200,200,200
22942.849849113,25.5625,25.5625,28.125,62.8,0.0,0.0,3.752,1.2875,-0.0025,-0.005,0.7575,1,1,1,0,0,0,120,120,120,120,120,9,0,0,8,200,200,200
22945.849853245,25.5625,25.5625,28.0625,62.3,0.0016,0.0016,3.752,1.2875,0.0025,0.0,0.7725,1,1,1,0,0,0,120,120,120,120,120,10,0,0,8,200,200,200
22948.849855334,25.5625,25.5625,28.0625,62.8,0.0,0.0032,3.752,1.2875,-0.0025,0.0025,0.7,1,1,1,0,0,0,120,120,120,120,120,10,0,0,8,200,200,200
22951.849855434,25.5,25.5625,28.0625,62.3,0.0016,0.0016,3.7552,1.2875,-0.0025,0.0,0.715,1,1,1,0,0,0,120,120,120,120,120,10,0,0,8,200,200,200
22954.849858179,25.5625,25.5625,28.0625,62.3,0.0016,0.0,3.7536000000000005,1.2875,0.0,-0.005,0.6675,1,1,1,0,0,0,120,120,120,120,120,10,0,0,8,200,200,200
22957.849859457,25.5625,25.5625,28.0625,62.3,0.0032,0.0,3.7552,1.2875,0.0,-0.0025,0.55,1,1,1,0,0,0,120,120,120,120,120,10,0,0,8,200,200,200
22960.849861193,25.5625,25.5625,28.0,62.3,0.0,0.0016,3.7536000000000005,1.2875,0.005,-0.0025,0.785,1,1,1,0,0,0,120,120,120,120,120,11,0,0,8,200,200,200
22963.849864483,25.5625,25.5625,28.0,62.8,0.0032,0.0,3.7552,1.2875,0.0,0.0025,0.575,1,1,1,0,0,0,120,120,120,120,120,11,0,0,8,200,200,200
22966.849868857,25.5,25.5625,28.0,62.8,0.0016,0.0,3.752,1.2875,0.0025,0.0,0.77,1,1,1,0,0,0,120,120,120,120,120,11,0,0,8,200,200,200
22969.849872286,25.5,25.5625,28.0625,62.3,0.0032,0.0,3.7536000000000005,1.2875,-0.0025,0.0025,0.76,1,1,1,0,0,0,120,120,120,120,120,11,0,0,8,200,200,200
22972.849876435,25.5,25.5625,28.0,62.8,0.0016,0.0,3.7552,1.2875,0.0,-0.0025,0.7,1,1,1,0,0,0,120,120,120,120,120,11,0,0,8,200,200,200
22975.84987964,25.5625,25.5625,28.0,63.4,0.0032,0.0,3.7536000000000005,1.2875,0.0,-0.005,0.7525,1,1,1,0,0,0,120,120,120,120,120,12,0,0,8,200,200,200
22978.849880337,25.5625,25.5625,28.0625,62.3,0.0032,0.0,3.7536000000000005,1.2875,0.0025,0.0,0.7725,1,1,1,0,0,0,120,120,120,120,120,12,0,0,8,200,200,200
22981.849880349,25.5625,25.5625,28.0625,63.4,0.0016,0.0,3.7536000000000005,1.2875,-0.0025,0.0,0.78,1,1,1,0,0,0,120,120,120,120,120,12,0,0,8,200,200,200
22984.849882907,25.5625,25.625,28.0625,63.4,0.0,0.0016,3.7536000000000005,1.2875,-0.0025,0.0,0.75,1,1,1,0,0,0,120,120,120,120,120,12,0,0,8,200,200,200
22987.849884209,25.5625,25.5625,28.0,63.4,0.0016,0.0,3.7552,1.2875,-0.0025,-0.005,0.7325,1,1,1,0,0,0,120,120,120,120,120,12,0,0,8,200,200,200
22990.849884515,25.5625,25.5625,28.0625,62.3,0.0032,0.0,3.7536000000000005,1.2875,-0.005,0.0,0.61,1,1,1,0,0,0,120,120,120,120,120,13,0,0,8,200,200,200
22993.84988544,25.5625,25.5625,28.0625,63.4,0.0032,0.0016,3.7552,1.2875,0.0,0.0,0.7975,1,1,1,0,0,0,120,120,120,120,120,13,0,0,8,200,200,200
22996.849886152,25.5625,25.5625,28.0625,62.8,0.0,0.0,3.7552,1.2875,0.0,0.0,0.86,1,1,1,0,0,0,120,120,120,120,120,13,0,0,8,200,200,200
22999.849887535,25.5625,25.5625,28.0625,63.4,0.0032,0.0016,3.7536000000000005,1.2875,0.0025,-0.0025,0.7575,1,1,1,0,0,0,120,120,120,120,120,13,0,0,8,200,200,200
23002.849888237,25.5625,25.5625,28.0625,63.4,0.0032,0.0016,3.7536000000000005,1.2875,0.0,-0.0025,0.7925,1,1,1,0,0,0,120,120,120,120,120,13,0,0,8,200,200,200
23005.849892164,25.5625,25.5625,28.0625,62.3,0.0016,0.0,3.7552,1.2875,-0.0025,0.0,0.7725,1,1,1,0,0,0,120,120,120,120,120,14,0,0,8,200,200,200
23008.849896399,25.5625,25.5625,28.0,62.8,0.0016,0.0016,3.7536000000000005,1.2875,-0.0025,-0.0025,0.785,1,1,1,0,0,0,120,120,120,120,120,14,0,0,8,200,200,200
23011.849900005,25.5,25.5625,28.0,62.8,0.0016,0.0,3.7552,1.2875,-0.0025,-0.0025,0.8025,1,1,1,0,0,0,120,120,120,120,120,14,0,0,8,200,200,200
23014.849903921,25.5,25.5625,28.0,62.8,0.0032,0.0,3.752,1.2875,0.0,-0.0025,0.745,1,1,1,0,0,0,120,120,120,120,120,14,0,0,8,200,200,200
23017.849907468,25.5625,25.5625,27.9375,62.8,0.0016,0.0,3.7552,1.2875,-0.005,0.0,0.77,1,1,1,0,0,0,120,120,120,120,120,14,0,0,8,200,200,200
23020.849910024,25.5625,25.5625,27.9375,62.8,0.0016,0.0016,3.7536000000000005,1.2875,-0.0025,-0.0025,0.5825,1,1,1,0,0,0,120,120,120,120,120,15,0,0,8,200,200,200
23023.849913671,25.5,25.5,27.9375,62.8,0.0,0.0016,3.7552,1.2875,0.0,-0.0025,0.955,1,1,1,0,0,0,120,120,120,120,120,15,0,0,8,200,200,200
23026.84991669,25.5625,25.5625,27.9375,62.8,0.0048,0.0,3.7552,1.2875,-0.005,-0.0025,0.545,1,1,1,0,0,0,120,120,120,120,120,15,0,0,8,200,200,200
23029.84991976,25.5625,25.5625,27.9375,62.3,0.0032,0.0016,3.7552,1.2875,0.0025,-0.0025,0.9775,1,1,1,0,0,0,120,120,120,120,120,15,0,0,8,200,200,200
23032.849924079,25.5625,25.5625,28.0,62.8,0.0016,0.0016,3.7536000000000005,1.2875,0.0,0.0,0.7775,1,1,1,0,0,0,120,120,120,120,120,15,0,0,8,200,200,200
23035.849926208,25.5625,25.5625,27.9375,62.3,0.0032,0.0,3.7552,1.2875,0.0,-0.0075,0.725,1,1,1,0,0,0,120,120,120,120,120,16,0,0,8,200,200,200
23038.849927712,25.5625,25.5625,27.9375,62.8,0.0048,0.0,3.7552,1.2875,0.0025,-0.0025,0.815,1,1,1,0,0,0,120,120,120,120,120,16,0,0,8,200,200,200
23041.849928226,25.5625,25.5625,27.9375,62.3,0.0048,0.0,3.7536000000000005,1.2875,0.0,-0.0025,0.7925,1,1,1,0,0,0,120,120,120,120,120,16,0,0,8,200,200,200
23044.849928427,25.625,25.5625,28.0,62.8,0.0048,0.0,3.7552,1.2875,-0.0025,0.005,0.7425,1,1,1,0,0,0,120,120,120,120,120,16,0,0,8,200,200,200
23047.84993191,25.625,25.625,28.0,62.8,0.0032,0.0016,3.7552,1.2875,0.0,-0.0025,0.79,1,1,1,0,0,0,120,120,120,120,120,16,0,0,8,200,200,200
23050.849932163,25.6875,25.625,28.0,62.8,0.0032,0.0016,3.7552,1.2875,-0.0025,-0.0025,0.7725,1,1,1,0,0,0,120,120,120,120,120,17,0,0,8,200,200,200
23053.849934345,25.6875,25.6875,28.0,62.3,0.0016,0.0,3.7552,1.2875,0.0025,-0.0025,0.785,1,1,1,0,0,0,120,120,120,120,120,17,0,0,8,200,200,200
23056.849936058,25.6875,25.6875,28.0,62.3,0.0,0.0,3.7568,1.2875,-0.005,-0.005,0.9475,1,1,1,0,0,0,120,120,120,120,120,17,0,0,8,200,200,200
23059.849939909,25.75,25.6875,27.9375,63.4,0.0,0.0,3.7568,1.2875,-0.0025,-0.0025,0.5875,1,1,1,0,0,0,120,120,120,120,120,17,0,0,8,200,200,200
23062.849941261,25.75,25.6875,27.9375,62.8,0.0,0.0,3.7568,1.2875,-0.0025,-0.0025,0.915,1,1,1,0,0,0,120,120,120,120,120,17,0,0,8,200,200,200
23065.849942667,25.6875,25.6875,27.9375,63.4,0.0,0.0016,3.7552,1.2875,0.0,-0.005,0.815,1,1,1,0,0,0,120,120,120,120,120,18,0,0,8,200,200,200
23068.849945898,25.6875,25.6875,27.875,62.3,0.0048,0.0,3.7552,1.2875,0.0,-0.0025,1.01,1,1,1,0,0,0,120,120,120,120,120,18,0,0,8,200,200,200
23071.849949027,25.6875,25.6875,27.875,62.3,0.0032,0.0016,3.7552,1.2875,-0.0025,-0.005,0.9075,1,1,1,0,0,0,120,120,120,120,120,18,0,0,8,200,200,200
23074.849949555,25.6875,25.6875,27.875,62.8,0.0016,0.0,3.7568,1.2875,0.0,-0.0025,0.62,1,1,1,0,0,0,120,120,120,120,120,18,0,0,8,200,200,200
23077.849953783,25.6875,25.625,27.875,62.3,0.0032,0.0,3.7552,1.2875,0.0025,-0.0025,0.6325,1,1,1,0,0,0,120,120,120,120,120,18,0,0,8,200,200,200
23080.849957651,25.625,25.625,27.8125,62.8,0.0048,0.0032,3.7552,1.2875,-0.005,-0.0025,0.8175,1,1,1,0,0,0,120,120,120,120,120,19,0,0,8,200,200,200
23083.849959491,25.625,25.625,27.8125,62.8,0.0016,0.0016,3.7552,1.2875,0.0,0.0,0.86,1,1,1,0,0,0,120,120,120,120,120,19,0,0,8,200,200,200
23086.849960241,25.625,25.625,27.875,63.4,0.0032,0.0,3.7552,1.2875,0.0,0.0,1.0275,1,1,1,0,0,0,120,120,120,120,120,19,0,0,8,200,200,200
23089.849961776,25.625,25.625,27.8125,62.8,0.0048,0.0016,3.7568,1.2875,-0.005,-0.005,0.63,1,1,1,0,0,0,120,120,120,120,120,19,0,0,8,200,200,200
23092.849963264,25.625,25.625,27.875,63.4,0.0032,0.0,3.7568,1.2875,0.0,-0.0025,0.8175,1,1,1,0,0,0,120,120,120,120,120,19,0,0,8,200,200,200
23095.849967465,25.625,25.625,27.8125,62.8,0.0032,0.0032,3.7552,1.2875,-0.0025,-0.0025,1.0525,1,1,1,0,0,0,120,120,120,120,120,20,0,0,8,200,200,200
23098.849967764,25.625,25.625,27.8125,63.4,0.0016,0.0016,3.7568,1.2875,0.0025,0.0,0.785,1,1,1,0,0,0,120,120,120,120,120,20,0,0,8,200,200,200
23101.849969528,25.6875,25.625,27.8125,63.4,0.0032,0.0016,3.7552,1.2875,-0.0025,0.0,1.0425,1,1,1,0,0,0,120,120,120,120,120,20,0,0,8,200,200,200
23104.849971609,25.6875,25.625,27.8125,62.3,0.0016,0.0032,3.7552,1.2875,0.0,-0.0025,1.01,1,1,1,0,0,0,120,120,120,120,120,20,0,0,8,200,200,200
23107.849975883,25.6875,25.6875,27.875,62.3,0.0016,0.0016,3.7552,1.2875,0.0,-0.0025,0.9825,1,1,1,0,0,0,120,120,120,120,120,20,0,0,8,200,200,200
23110.84998032,25.75,25.6875,27.875,63.4,0.0032,0.0016,3.7568,1.2875,-0.0025,-0.005,0.69,1,1,1,0,0,0,120,120,120,120,120,21,0,0,8,200,200,200
23113.849983201,25.75,25.6875,27.875,62.3,0.0,0.0,3.7536000000000005,1.2875,0.0,0.0,0.5675,1,1,1,0,0,0,120,120,120,120,120,21,0,0,8,200,200,200
23116.849986662,25.75,25.75,27.875,62.8,0.0016,0.0,3.7568,1.2875,0.0025,-0.0025,0.94,1,1,1,0,0,0,120,120,120,120,120,21,0,0,8,200,200,200
23119.84999091,25.75,25.6875,27.875,63.4,0.0032,0.0,3.7568,1.2875,0.0,0.0,0.895,1,1,1,0,0,0,120,120,120,120,120,21,0,0,8,200,200,200
